recipe_id,recipe_name,ingredient,category,quantity_g,is_optional,can_substitute,substitute,prep_time_min,cook_time_min,servings,cuisine,difficulty,meal_type
1,Tuna Salad,tuna,Protein,79,False,False,,29,59,3,Indian,hard,dinner
1,Tuna Salad,lettuce,Vegetable,165,False,False,cream,28,22,4,Mediterranean,easy,snack
1,Tuna Salad,tomato,Vegetable,35,False,False,,32,58,2,Mediterranean,easy,breakfast
1,Tuna Salad,cucumber,Vegetable,247,False,False,,23,11,1,International,easy,snack
1,Tuna Salad,lemon,Fruit,82,False,False,potato,38,9,5,Indian,medium,drink
2,Garlic Mushroom Toast,bread,Grain,149,False,True,,40,24,1,Mediterranean,hard,breakfast
2,Garlic Mushroom Toast,mushroom,Vegetable,45,False,False,cauliflower,25,20,1,Mediterranean,medium,drink
2,Garlic Mushroom Toast,garlic,Vegetable,55,False,False,beef,21,17,4,International,medium,snack
2,Garlic Mushroom Toast,butter,Dairy,74,False,True,,11,37,6,Indian,hard,lunch
3,Tuna Salad,tuna,Protein,89,False,False,,24,60,1,Fusion,medium,lunch
3,Tuna Salad,lettuce,Vegetable,176,False,False,cauliflower,35,43,4,Indian,easy,dinner
3,Tuna Salad,tomato,Vegetable,166,False,False,,12,58,4,Indian,easy,breakfast
3,Tuna Salad,cucumber,Vegetable,82,True,True,,45,31,5,Mediterranean,easy,drink
3,Tuna Salad,lemon,Fruit,150,False,False,,38,41,5,International,hard,lunch
4,Berry Smoothie Bowl,strawberry,Fruit,177,True,False,,14,52,3,Fusion,easy,breakfast
4,Berry Smoothie Bowl,banana,Fruit,185,False,False,,45,21,1,Fusion,medium,snack
4,Berry Smoothie Bowl,blueberry,Fruit,200,False,False,,5,26,5,Indian,easy,dinner
4,Berry Smoothie Bowl,yogurt,Dairy,219,False,True,,43,29,2,Mediterranean,hard,drink
5,Green Smoothie,spinach,Vegetable,36,False,True,,42,1,2,Fusion,easy,snack
5,Green Smoothie,banana,Fruit,203,False,True,,13,12,4,Mediterranean,easy,breakfast
5,Green Smoothie,apple,Fruit,175,False,False,cherry,8,7,6,International,medium,breakfast
5,Green Smoothie,lemon,Fruit,247,False,False,banana,21,33,3,Fusion,easy,lunch
6,French Toast,bread,Grain,51,False,False,,23,45,3,Mediterranean,easy,dinner
6,French Toast,egg,Protein,126,False,True,,25,47,6,Indian,easy,snack
6,French Toast,milk,Dairy,95,False,True,,32,34,2,Indian,easy,lunch
6,French Toast,butter,Dairy,38,True,False,,25,51,2,Mediterranean,easy,breakfast
7,Banana Milkshake,banana,Fruit,198,False,False,,41,23,6,Mediterranean,medium,snack
7,Banana Milkshake,milk,Dairy,56,False,False,,33,9,3,Indian,easy,snack
7,Banana Milkshake,yogurt,Dairy,247,False,True,,37,28,6,Fusion,hard,lunch
8,Pineapple Fried Rice,rice,Grain,198,False,False,apple,45,35,1,Mediterranean,hard,lunch
8,Pineapple Fried Rice,pineapple,Fruit,50,False,False,,44,3,5,International,hard,snack
8,Pineapple Fried Rice,egg,Protein,138,False,False,,37,32,1,International,medium,snack
8,Pineapple Fried Rice,onion,Vegetable,35,False,False,,13,60,3,Fusion,hard,breakfast
8,Pineapple Fried Rice,carrot,Vegetable,145,False,True,pineapple,35,34,2,Mediterranean,medium,breakfast
9,Corn Salsa,corn,Vegetable,170,False,True,,24,13,3,Indian,easy,drink
9,Corn Salsa,tomato,Vegetable,163,False,False,,43,5,1,Mediterranean,medium,breakfast
9,Corn Salsa,onion,Vegetable,155,False,False,,20,20,4,Indian,easy,drink
9,Corn Salsa,lemon,Fruit,47,False,False,grape,5,29,6,International,hard,snack
9,Corn Salsa,bell_pepper,Vegetable,114,False,True,pineapple,13,25,5,International,hard,drink
10,Chicken Stir Fry,chicken,Protein,195,True,True,,31,5,5,International,medium,drink
10,Chicken Stir Fry,broccoli,Vegetable,156,False,False,avocado,11,1,6,Mediterranean,easy,dinner
10,Chicken Stir Fry,carrot,Vegetable,123,False,False,,36,6,5,International,medium,dinner
10,Chicken Stir Fry,garlic,Vegetable,64,False,False,,30,33,3,Mediterranean,medium,snack
10,Chicken Stir Fry,bell_pepper,Vegetable,121,False,False,spinach,16,40,6,Indian,hard,breakfast
11,French Toast,bread,Grain,241,False,False,,32,19,3,Mediterranean,medium,breakfast
11,French Toast,egg,Protein,70,False,False,egg,33,27,6,Fusion,easy,dinner
